Artículo;Artículo descripción;Color;Color descripción;Talle;Nombre;Cantidad
U082;CINTO SAUCE COMB. 40 SOGA PAMPERO;G1;BEIGE;100;Pionera S.A.;-1,00
U11122003;CAMISA CAMPO;C4;AZUL MARINO;M;Lopez Omar Alexis;-1,00
U12106004;PANTALON CAIRO PAMPERO;G3;MARRON;3MG;MACATA SA;-1,00
U123;PANT. CANDELARIA M. C/LYCRA PAMPERO;H2;NEGRO;36;RIEMERSO SA;-1,00
U145;PANTALON CARGO ELASTIZADO PAMPERO FIT;G1;BEIGE;40;MACATA SA;-1,00
U159;CHALECO PEHUEN PAMPERO;C4;AZUL MARINO;XXL;RANQUEL DEL PLATA SA;-1,00
U178;PANTALON JUNIN CHUPIN;H3;GRIS;46;RIEMERSO SA;-1,00
U179;BOMBACHA CORONDA DAMA;G1;BEIGE;36;RIEMERSO SA;-1,00
U179;BOMBACHA CORONDA DAMA;G1;BEIGE;34;RIEMERSO SA;-1,00
U412;PANTALON CARGO DEL NORTE H.;E1;VERDE;48;CITEX SRL;-1,00
U412;PANTALON CARGO DEL NORTE H.;G0;HABANO;48;CITEX SRL;-1,00
U412;PANTALON CARGO DEL NORTE H.;G0;HABANO;46;CITEX SRL;-1,00
U412;PANTALON CARGO DEL NORTE H.;G0;HABANO;44;CITEX SRL;-1,00
U412;PANTALON CARGO DEL NORTE H.;G0;HABANO;42;CITEX SRL;-1,00
U412;PANTALON CARGO DEL NORTE H.;H2;NEGRO;52;CITEX SRL;-1,00
U415;ALPARGATA YUTE REFORZADA;H2;NEGRO;44;CITEX SRL;-1,00
U454;BOMBACHA ALUMINE M.POPLIN PAMP.;E1;VERDE;42;RIEMERSO SA;-1,00
U454;BOMBACHA ALUMINE M.POPLIN PAMP.;G1;BEIGE;44;RIEMERSO SA;-1,00
U454;BOMBACHA ALUMINE M.POPLIN PAMP.;G1;BEIGE;38;RIEMERSO SA;-1,00
U454;BOMBACHA ALUMINE M.POPLIN PAMP.;G1;BEIGE;36;RIEMERSO SA;-1,00
U596;CAMISA CAIRO FAST DRY;G1;BEIGE;MMG;MACATA SA;-1,00
U596;CAMISA CAIRO FAST DRY;G1;BEIGE;M;MACATA SA;-1,00
U596;CAMISA CAIRO FAST DRY;G1;BEIGE;L;MACATA SA;-1,00
U596;CAMISA CAIRO FAST DRY;G1;BEIGE;3XL;MACATA SA;-1,00
U752;CHALECO SOFTSHELL PAMPERO IND.;H2;NEGRO;M;RANQUEL DEL PLATA SA;-1,00
111138100;CHOMBA BASICA PIQUE PAMPERO;C4;AZUL MARINO;CH;Pampenorte S.R.L.;1,00
111138100;CHOMBA BASICA PIQUE PAMPERO;H2;NEGRO;3MG;Pampenorte S.R.L.;1,00
111140100;REMERA CARDADO JERSEY 24/1 PAMPERO;C4;AZUL MARINO;MMG;Pampenorte S.R.L.;1,00
111140100;REMERA CARDADO JERSEY 24/1 PAMPERO;C4;AZUL MARINO;3MG;Pampenorte S.R.L.;1,00
111140100;REMERA CARDADO JERSEY 24/1 PAMPERO;E1;VERDE;3MG;Pampenorte S.R.L.;1,00
111140100;REMERA CARDADO JERSEY 24/1 PAMPERO;H1;BLANCO;M;Pampenorte S.R.L.;1,00
111140100;REMERA CARDADO JERSEY 24/1 PAMPERO;H2;NEGRO;M;Pampenorte S.R.L.;1,00
121134003;BOTINETA PEHUAJO C/ CORDONES;E1;VERDE;43;RANQUEL DEL PLATA SA;1,00
121134003;BOTINETA PEHUAJO C/ CORDONES;E1;VERDE;42;RANQUEL DEL PLATA SA;1,00
121134003;BOTINETA PEHUAJO C/ CORDONES;E1;VERDE;40;RANQUEL DEL PLATA SA;1,00
121134003;BOTINETA PEHUAJO C/ CORDONES;G3;MARRON;43;RANQUEL DEL PLATA SA;1,00
121134003;BOTINETA PEHUAJO C/ CORDONES;G3;MARRON;41;RANQUEL DEL PLATA SA;1,00
121134003;BOTINETA PEHUAJO C/ CORDONES;G3;MARRON;40;RANQUEL DEL PLATA SA;1,00
123410131;BOTIN PATRIO C/FLOR C/P PAMPERO;H2;NEGRO;38;RANQUEL DEL PLATA SA;1,00
13106003;ROMPEVIENTO PAMPERO;H3;GRIS;MMG;La Pettit S.A.;1,00
13106003;ROMPEVIENTO PAMPERO;H3;GRIS;G;La Pettit S.A.;1,00
136121501;TRAJE DE LLUVIA STORM PAMPERO;C4;AZUL MARINO;MG;SAFETY SOLUTION SA;1,00
136121501;TRAJE DE LLUVIA STORM PAMPERO;C4;AZUL MARINO;G;SAFETY SOLUTION SA;1,00
136121501;TRAJE DE LLUVIA STORM PAMPERO;C4;AZUL MARINO;3MG;SAFETY SOLUTION SA;1,00
136121501;TRAJE DE LLUVIA STORM PAMPERO;C4;AZUL MARINO;2MG;SAFETY SOLUTION SA;1,00
224122000;PANCHA RANCHO;C4;AZUL MARINO;39;CITEX SRL;1,00
241122007;BOINA VASCA ALGODON 35CM;G3;MARRON;U;Corbellini Pablo Andres;1,00
244122009;FAJA GUARDA PAMPA 9CM PAMPERO;V1;VARIOS;U;Corbellini Pablo Andres;1,00
244122010;FAJA DOBLE GUARDA 9CM;V1;VARIOS;U;Corbellini Pablo Andres;1,00
245122001;RUANA PESADA C/GUARDA;V1;VARIOS;U;Corbellini Pablo Andres;1,00
3001;CHAPA Nº0 16X21;V1;VARIOS;U;Recalde Gaston Alberto;1,00
311106107;CAMISA PUAN M/CORTA 2 BOLSILLOS;C6;AZUL JEAN;MG;Armesto Maria Eugenia;1,00
311106107;CAMISA PUAN M/CORTA 2 BOLSILLOS;C6;AZUL JEAN;CH;Armesto Maria Eugenia;1,00
311106107;CAMISA PUAN M/CORTA 2 BOLSILLOS;C6;AZUL JEAN;2MG;Armesto Maria Eugenia;1,00
311106107;CAMISA PUAN M/CORTA 2 BOLSILLOS;G1;BEIGE;MCH;Armesto Maria Eugenia;1,00
311106107;CAMISA PUAN M/CORTA 2 BOLSILLOS;G1;BEIGE;CH;Armesto Maria Eugenia;1,00
311106107;CAMISA PUAN M/CORTA 2 BOLSILLOS;G1;BEIGE;2MG;Armesto Maria Eugenia;1,00
311106108;CAMISA PUAN PAPPER M/L;C6;AZUL JEAN;MMG;Armesto Maria Eugenia;1,00
311106108;CAMISA PUAN PAPPER M/L;C6;AZUL JEAN;MCH;Armesto Maria Eugenia;1,00
311106108;CAMISA PUAN PAPPER M/L;C6;AZUL JEAN;2MG;Armesto Maria Eugenia;1,00
311106108;CAMISA PUAN PAPPER M/L;G1;BEIGE;MMG;Armesto Maria Eugenia;1,00
311106108;CAMISA PUAN PAPPER M/L;G1;BEIGE;G;Armesto Maria Eugenia;1,00
